"V1" "V2"
"589" 1 3
"590" 1 3.01
"591" 1 3.01
"592" 1 3.01
"593" 1 3.01
"594" 1 3.01
"595" 1 3.01
"596" 1 3
"597" 1 3.01
"598" 1 3.01
"599" 1 3.01
"600" 1 3.01
"601" 1 3.01
"602" 1 3.01
"603" 1 3
"604" 1 3
"605" 1 3.01
"606" 1 3.01
"607" 1 3.01
"608" 1 3.01
"609" 1 3.01
"610" 1 3.01
"611" 1 3.01
"612" 1 2.99
"613" 1 3.01
"614" 1 3.01
"615" 1 3.01
"616" 1 2.99
"617" 1 3.01
"618" 1 3.01
"619" 1 3.01
"620" 1 3.01
"621" 1 3.01
"622" 1 3.01
"623" 1 3.01
"624" 1 3
"625" 1 2.99
"626" 1 3.01
"627" 1 3.01
"628" 1 3.01
"629" 1 3.01
"630" 1 3.01
"631" 1 3.01
"632" 1 3.01
"633" 1 3.01
"634" 1 3.01
"635" 1 3.01
"636" 1 3.01
"637" 1 3.01
"638" 1 3.01
"639" 1 3.01
"640" 1 3.01
"641" 1 3.01
"642" 1 3.01
"643" 1 3.01
"644" 1 3.01
"645" 1 3.01
"646" 1 3.01
"647" 1 3.01
"648" 1 3.01
"649" 1 3.01
"650" 1 3.01
"651" 1 3.01
"652" 1 3
"653" 1 3.01
"654" 1 3.01
"655" 1 3.01
"656" 1 3.01
"657" 1 3.01
"658" 1 3.01
"659" 1 3.01
"660" 1 3.01
"661" 1 3.01
"662" 1 3.01
"663" 1 3.01
"664" 1 3.01
"665" 1 3.01
"666" 1 3.01
"667" 1 3.01
"668" 1 3.01
"669" 1 3.01
"670" 1 3.01
"671" 1 3.01
"672" 1 3.01
"673" 1 3.01
"674" 1 3.01
"675" 1 2.94
"676" 1 3.01
"677" 1 3.01
"678" 1 3.01
"679" 1 3.01
"680" 1 3.01
"681" 1 3.01
"682" 1 3.01
"683" 1 3.01
"684" 1 3.01
"685" 1 3.01
"686" 1 3.01
"687" 1 3.01
"688" 1 3.01
"689" 1 3.01
"690" 1 3.01
"691" 1 3.01
"692" 1 3.01
"693" 1 3.01
"694" 1 3.01
"695" 1 3.01
"696" 1 3.01
"697" 1 3.01
"698" 1 3.01
"699" 1 3.01
"700" 1 3.01
"701" 1 3.01
"702" 1 2.97
"703" 1 2.93
"704" 1 3.01
"705" 1 3
"706" 1 3.01
"707" 1 3.01
"708" 1 2.99
"709" 1 2.99
"710" 1 3
"711" 1 2.95
"712" 1 3.01
"713" 1 3
"714" 1 2.91
"715" 1 3
"716" 1 3.01
"717" 1 3.01
"718" 1 3.01
"719" 1 3.01
"720" 1 3.01
"721" 1 3.01
"722" 1 3.01
"723" 1 3
"724" 1 3.01
"725" 1 3.01
"726" 1 3.01
"727" 1 3.01
"728" 1 3.01
"729" 1 3.01
"730" 1 3
"731" 1 3.01
"732" 1 3
"733" 1 3.01
"734" 1 3.01
"735" 1 3.01
"736" 1 3.01
"737" 1 0
"738" 1 3.01
"739" 1 3.01
"740" 1 3.01
"741" 1 3
"742" 1 2.97
"743" 1 3
"744" 1 3.01
"745" 1 3.01
"746" 1 3.01
"747" 1 2.96
"748" 1 3.01
"749" 1 3.01
"750" 1 2.97
"751" 1 3.01
"752" 1 3.01
"753" 1 3.01
"754" 1 3.01
"755" 1 3.01
"756" 1 3.01
"757" 1 3
"758" 1 3.01
"759" 1 3.01
"760" 1 3
"761" 1 3.01
"762" 1 3.01
"763" 1 3
"764" 1 3.01
"765" 1 2.98
"766" 1 3.01
"767" 1 3.01
"768" 1 3.01
"769" 1 3
"770" 1 2.96
"771" 1 2.98
"772" 1 3.01
"773" 1 3
"774" 1 3
"775" 1 3.01
"776" 1 2.99
"777" 1 3
"778" 1 2.99
"779" 1 3
"780" 1 2.95
"781" 1 3.01
"782" 1 3.01
"783" 1 3.01
"784" 1 3.01
"785" 1 3
"786" 1 3.01
"787" 1 3.01
"788" 1 2.81
"789" 1 3.01
"790" 1 2.95
"791" 1 3
"792" 1 2.97
"793" 1 3.01
"794" 1 3
"795" 1 3.01
"796" 1 3.01
"797" 1 3.01
"798" 1 3.01
"799" 1 3.01
"800" 1 3
"801" 1 3.01
"802" 1 3
"803" 1 3
"804" 1 3.01
"805" 1 3.01
"806" 1 3.01
"807" 1 3.01
"808" 1 3.01
"809" 1 3.01
"810" 1 3.01
"811" 1 2.98
"812" 1 3
"813" 1 3.01
"814" 1 3
"815" 1 3.01
"816" 1 3
"817" 1 3
"818" 1 3.01
"819" 1 3.01
"820" 1 3
"821" 1 2.98
"822" 1 3.01
"823" 1 3.01
"824" 1 3
"825" 1 2.98
"826" 1 2.86
"827" 1 3.01
"828" 1 3.01
"829" 1 3
"830" 1 3.01
"831" 1 3.01
"832" 1 3.01
"833" 1 3.01
"834" 1 2.99
"835" 1 3
"836" 1 2.98
"837" 1 3
"838" 1 3.01
"839" 1 3.01
"840" 1 2.97
"841" 1 3
"842" 1 3
"843" 1 3
"844" 1 3.01
"845" 1 3.01
"846" 1 0
"847" 1 2.95
"848" 1 3
"849" 1 3.01
"850" 1 3.01
"851" 1 3
"852" 1 3.01
"853" 1 3.01
"854" 1 3.01
"855" 1 3.01
"856" 1 3.01
"857" 1 3.01
"858" 1 3.01
"859" 1 3
"860" 1 3
"861" 1 3
"862" 1 3.01
"863" 1 3.01
"864" 1 3.01
"865" 1 3.01
"866" 1 3
"867" 1 3
"868" 1 2.95
"869" 1 3.01
"870" 1 3
"871" 1 3.01
"872" 1 3.01
"873" 1 3
"874" 1 3
"875" 1 3
"876" 1 3.01
"877" 1 3.01
"878" 1 3.01
"879" 1 3.01
"880" 1 3.01
"881" 1 3
"882" 1 3
"883" 1 3.01
"884" 1 3.01
"885" 1 3
"886" 1 3.01
"887" 1 3
"888" 1 2.99
"889" 1 3.01
"890" 1 3
"891" 1 3
"892" 1 3.01
"893" 1 3.01
"894" 1 2.96
"895" 1 3.01
"896" 1 3.01
"897" 1 3.01
"898" 1 3.01
"899" 1 3.01
"900" 1 3.01
"901" 1 3
"902" 1 3.01
"903" 1 3.01
"904" 1 3.01
"905" 1 3.01
"906" 1 3.01
"907" 1 3
"908" 1 3.01
"909" 1 3.01
"910" 1 3.01
"911" 1 3.01
"912" 1 3.01
"913" 1 3.01
"914" 1 3
"915" 1 3.01
"916" 1 3.01
"917" 1 3
"918" 1 3
"919" 1 3.01
"920" 1 3.01
"921" 1 3.01
"922" 1 3.01
"923" 1 3.01
"924" 1 3
"925" 1 3
"926" 1 3
"927" 1 3.01
"928" 1 3
"929" 1 3.01
"930" 1 3
"931" 1 3.01
"932" 1 3
"933" 1 3.01
"934" 1 3.01
"935" 1 3.01
"936" 1 3.01
"937" 1 3.01
"938" 1 3.01
"939" 1 3.01
"940" 1 2.99
"941" 1 3
"942" 1 3.01
"943" 1 3
"944" 1 2.99
"945" 1 3.01
"946" 1 3.01
"947" 1 3.01
"948" 1 3.01
"949" 1 2.99
"950" 1 3.01
"951" 1 3
"952" 1 3.01
"953" 1 3
"954" 1 3
"955" 1 3.01
"956" 1 3.01
"957" 1 3.01
"958" 1 3.01
"959" 1 3
"960" 1 3
"961" 1 3.01
"962" 1 3.01
"963" 1 3.01
"964" 1 3.01
"965" 1 3
"966" 1 3.01
"967" 1 3.01
"968" 1 2.97
"969" 1 3
"970" 1 3.01
"971" 1 3.01
"972" 1 3
"973" 1 3
"974" 1 3.01
"975" 1 3.01
"976" 1 3.01
"977" 1 3.01
"978" 1 3.01
"979" 1 2.89
"980" 1 3.01
"981" 1 3.01
"982" 1 3.01
"983" 1 2.99
"984" 1 3.01
"985" 1 2.95
"986" 1 3
"987" 1 3
"988" 1 3
"989" 1 3
"990" 1 3
"991" 1 3.01
"992" 1 2.97
"993" 1 2.98
"994" 1 3.01
"995" 1 3.01
"996" 1 3.01
"997" 1 2.92
"998" 1 3.01
"999" 1 3.01
"1000" 1 3.01
"1001" 1 3.01
"1002" 1 3.01
"1003" 1 3.01
"1004" 1 3.01
"1005" 1 3
"1006" 1 3.01
"1007" 1 2.9
"1008" 1 2.99
"1009" 1 3.01
"1010" 1 3.01
"1011" 1 3.01
"1012" 1 3.01
"1013" 1 3.01
"1014" 1 3
"1015" 1 2.95
"1016" 1 3.01
"1017" 1 3
"1018" 1 3
"1019" 1 2.97
"1020" 1 2.99
"1021" 1 3.01
"1022" 1 3
"1023" 1 3
"1024" 1 3.01
"1025" 1 2.97
"1026" 1 3.01
"1027" 1 3
"1028" 1 2.98
"1029" 1 3
"1030" 1 3.01
"1031" 1 3.01
"1032" 1 2.98
"1033" 1 3.01
"1034" 1 3
"1035" 1 2.99
"1036" 1 3
"1037" 1 3.01
"1038" 1 3.01
"1039" 1 3.01
"1040" 1 3.01
"1041" 1 3.01
"1042" 1 3
"1043" 1 3.01
"1044" 1 2.91
"1045" 1 2.97
